channel_name,category,sub_category,customer_remarks,tenure_bucket,agent_shift,csat_score,response_minutes,retention_label
Outcall,Returns,Wrong,,On Job Training,Morning,5,8,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Night,5,369,1
Inbound,Returns,Reverse Pickup Enquiry,Keep it up Shopzilla,>90,Evening,5,4,1
Inbound,Returns,Missing,I am so happy,>90,Evening,5,10,1
Inbound,Order Related,Installation/demo,,On Job Training,Morning,1,1,0
Inbound,Returns,Return request,,>90,Morning,5,2,1
Inbound,Order Related,Delayed,,>90,Morning,1,5,0
Inbound,Returns,Service Centres Related,,>90,Afternoon,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,On Job Training,Evening,5,7,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,2,1
Outcall,Order Related,Installation/demo,,0-30,Morning,1,7,0
Inbound,Order Related,Priority delivery,,On Job Training,Evening,5,3,1
Inbound,Refund Related,Refund Related Issues,Very bad agent,>90,Morning,1,9,0
Inbound,Returns,Return request,,0-30,Morning,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,4,1
Outcall,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,3,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,0,1
Inbound,Order Related,Order status enquiry,,>90,Afternoon,5,2,1
Outcall,Shopzilla Related,Signup Issues,,>90,Morning,5,2,1
Inbound,Order Related,Invoice request,,>90,Split,5,3,1
Outcall,Order Related,Order status enquiry,Ok,On Job Training,Morning,2,1,0
Inbound,Payments related,Online Payment Issues,,31-60,Morning,5,6,1
Inbound,Order Related,Installation/demo,,>90,Morning,5,36,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,10,1
Inbound,Returns,Technician Visit,Should take action fast..thank u,>90,Morning,5,5,1
Inbound,Returns,Return request,Good talk,>90,Morning,5,2,1
Inbound,Returns,Fraudulent User,,>90,Morning,5,36,1
Inbound,Feedback,UnProfessional Behaviour,The way she talked with me is quite appropriate and nice as well. Shopzilla should hire these kind of executive for their customer support service.   bless you dear.,>90,Afternoon,5,10,1
Inbound,Order Related,Installation/demo,,>90,Evening,5,2,1
Inbound,Refund Related,Refund Related Issues,,61-90,Split,5,1,1
Inbound,Order Related,Delayed,,0-30,Morning,5,3,1
Inbound,Order Related,Order status enquiry,,>90,Morning,5,343,1
Inbound,Returns,Reverse Pickup Enquiry,"Please pack the products which actually customers ordered, otherwise it is time to both you and us Shopzilla.",On Job Training,Evening,4,2,1
Inbound,Order Related,Invoice request,,>90,Afternoon,4,5,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,2,1
Inbound,Shopzilla Related,General Enquiry,Thanks,>90,Evening,5,37,1
Inbound,Returns,Reverse Pickup Enquiry,,On Job Training,Evening,5,47,1
Inbound,Feedback,UnProfessional Behaviour,,61-90,Evening,4,6,1
Inbound,Refund Related,Refund Related Issues,????,0-30,Morning,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,On Job Training,Evening,5,4,1
Inbound,Cancellation,Not Needed,Mr   was very helpful,31-60,Evening,5,8,1
Inbound,Returns,Damaged,"Thank you so much sir for solving my issue . Bhai, please highlight my concern. Bhai sorry for the late feedback. Bhai please call me.",31-60,Evening,5,30,1
Inbound,Returns,Wrong,Good,On Job Training,Morning,5,5,1
Inbound,Returns,Reverse Pickup Enquiry,,61-90,Evening,5,6,1
Inbound,Returns,Exchange / Replacement,,>90,Morning,4,1,1
Inbound,Returns,Return request,Thankyou,0-30,Evening,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,3,1
Inbound,Order Related,Order status enquiry,I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly,On Job Training,Evening,1,1,0
Inbound,Returns,Product related Issues,,>90,Split,4,35,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Evening,1,1,0
Inbound,Returns,Missing,,On Job Training,Evening,5,49,1
Inbound,Returns,Reverse Pickup Enquiry,Nice,61-90,Evening,5,8,1
Inbound,Returns,Reverse Pickup Enquiry,"Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving worst products... Sell your products like Myntra ( Myntra always send their products)",61-90,Evening,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,2,1
Outcall,Refund Related,Refund Enquiry,,0-30,Morning,5,171,1
Outcall,Returns,Missing,,31-60,Evening,5,2,1
Inbound,Refund Related,Refund Enquiry,,61-90,Evening,5,133,1
Inbound,Feedback,UnProfessional Behaviour,,>90,Split,1,2,0
Inbound,Returns,Fraudulent User,,>90,Afternoon,5,3,1
Outcall,Returns,Wrong,Thank you   for your valuable time & support,31-60,Night,5,62,1
Inbound,Order Related,Order status enquiry,Good night,>90,Evening,5,3,1
Inbound,Returns,Fraudulent User,No,31-60,Evening,5,43772,
Inbound,Order Related,Customer Requested Modifications,,0-30,Evening,5,139,1
Outcall,Returns,Reverse Pickup Enquiry,,>90,Morning,4,5,1
Inbound,Returns,Reverse Pickup Enquiry,Thank you so much,>90,Split,5,0,1
Inbound,Returns,Service Centres Related,?? no,61-90,Evening,1,57,0
Inbound,Returns,Missing,,0-30,Morning,5,18,1
Inbound,Returns,Fraudulent User,,31-60,Morning,5,3,1
Inbound,Returns,Reverse Pickup Enquiry,Please provide customer support in regional language like Bengali,0-30,Evening,5,8,1
Inbound,Returns,Technician Visit,Delete in Shopzilla account,>90,Evening,1,,0
Inbound,Returns,Return request,,>90,Afternoon,5,8,1
Inbound,Product Queries,Product Specific Information,,0-30,Morning,5,2,1
Inbound,Refund Related,Refund Related Issues,,>90,Morning,5,4,1
Inbound,Returns,Missing,Next time better,On Job Training,Evening,5,2,1
Inbound,Cancellation,Not Needed,,0-30,Evening,5,3,1
Inbound,Order Related,Delayed,Very poor service and support,On Job Training,Evening,1,16,0
Outcall,Order Related,Delayed,,>90,Morning,5,0,1
Inbound,Returns,Service Centres Related,,>90,Evening,4,1,1
Inbound,Returns,Reverse Pickup Enquiry,,61-90,Evening,5,43941,
Inbound,Returns,Fraudulent User,Thanks for understanding my problem and helping me out,>90,Split,5,2,1
Inbound,Order Related,Installation/demo,,>90,Split,3,7,
Outcall,Returns,Reverse Pickup Enquiry,,>90,Evening,5,29,1
Inbound,Returns,Reverse Pickup Enquiry,,0-30,Morning,1,10,0
Inbound,Refund Related,Refund Related Issues,,On Job Training,Evening,1,20,0
Outcall,Returns,Return request,Nk,31-60,Evening,5,2,1
Email,Refund Related,Refund Enquiry,,>90,Morning,4,2,1
Outcall,Returns,Missing,,31-60,Morning,5,617,1
Inbound,Returns,Return request,,31-60,Evening,5,2,1
Inbound,Product Queries,Product Specific Information,,31-60,Morning,5,10,1
Email,Refund Related,Refund Related Issues,,>90,Morning,1,0,0
Inbound,Order Related,Installation/demo,Noise watch not restart,0-30,Morning,1,4,0
Inbound,Order Related,Order status enquiry,No any response my orderVery bad costumer service,>90,Morning,1,231,0
Outcall,Order Related,Order status enquiry,Small product is take so much time and my order is ariving 2 aug but suddanly is change to 5 aug,On Job Training,Evening,1,123,0
Inbound,Returns,Reverse Pickup Enquiry,,>90,Split,5,28,1
Inbound,Returns,Reverse Pickup Enquiry,Reten,>90,Night,1,3,0
Inbound,Order Related,Delayed,,>90,Afternoon,5,2,1
Inbound,Cancellation,Not Needed,,On Job Training,Evening,4,99,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,4,2,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,2,1
Email,Order Related,Delayed,,On Job Training,Evening,5,8,1
Inbound,Product Queries,Product Specific Information,,On Job Training,Evening,5,44408,
Outcall,Returns,Return request,,0-30,Morning,5,180,1
Inbound,Returns,Fraudulent User,Nice,>90,Split,4,64,1
Inbound,Returns,Missing,,>90,Evening,5,2,1
Outcall,Returns,Reverse Pickup Enquiry,Good,31-60,Morning,5,10,1
Inbound,Returns,Return request,,>90,Morning,5,3,1
Inbound,Refund Related,Refund Enquiry,,>90,Afternoon,1,15,0
Inbound,Order Related,Delayed,,31-60,Evening,5,1,1
Inbound,Order Related,Delayed,,0-30,Morning,5,3,1
Email,Returns,Fraudulent User,Call disconnect and not provide information proper,>90,Morning,1,82,0
Inbound,Feedback,UnProfessional Behaviour,,On Job Training,Morning,5,40,1
Inbound,Returns,Reverse Pickup Enquiry,My issue is not resolved from yesterday.this is not a good thing.if customer issue is not solved quickly then why we don't do shopping from other shopping app where our issue is solved quickly,61-90,Evening,4,7,1
Inbound,Returns,Reverse Pickup Enquiry,Everything is good ??,>90,Morning,5,3,1
Inbound,Returns,Reverse Pickup Enquiry,Wrong Product received.,>90,Split,1,17,0
Inbound,Returns,Technician Visit,,0-30,Evening,5,5,1
Inbound,Order Related,Installation/demo,,31-60,Morning,5,7,1
Outcall,Returns,Return request,,On Job Training,Evening,5,5,1
Inbound,Feedback,UnProfessional Behaviour,Good communication skills,>90,Morning,5,2,1
Inbound,Refund Related,Refund Enquiry,,>90,Split,5,19,1
Inbound,Order Related,Order status enquiry,,31-60,Morning,5,4,1
Inbound,Order Related,Delayed,,31-60,Evening,5,2,1
Outcall,Product Queries,Product Specific Information,,On Job Training,Morning,5,1,1
Inbound,Refund Related,Refund Enquiry,,61-90,Evening,5,2,1
Outcall,Returns,Wrong,,0-30,Morning,4,2,1
Inbound,Order Related,Order status enquiry,Thanks ??,31-60,Evening,5,0,1
Inbound,Returns,Missing,,>90,Morning,5,2,1
Outcall,Order Related,Seller Cancelled Order,Worst Shopzilla customer service. Shopzilla shouldn't cancel order without ack from customer and also there's no compensation for customer satisfiaction. it makes us to move out from Shopzilla.,On Job Training,Morning,1,6,0
Inbound,Order Related,Seller Cancelled Order,,>90,Night,5,45,1
Outcall,Order Related,Order status enquiry,I am waiting second item today because today evening my flight please solve that today thanks,>90,Afternoon,5,1,1
Outcall,Cancellation,Not Needed,Nothing to say thanks for solving my issue,>90,Evening,5,5,1
Outcall,Refund Related,Refund Enquiry,,0-30,Morning,5,21,1
Inbound,Refund Related,Refund Related Issues,,>90,Evening,1,31,0
Inbound,Returns,Return request,,31-60,Morning,4,154,1
Inbound,Order Related,Order status enquiry,,>90,Morning,5,4,1
Inbound,Order Related,Delayed,,>90,Afternoon,1,17,0
Inbound,Cancellation,Return cancellation,,0-30,Evening,5,4,1
Outcall,Cancellation,Return cancellation,,>90,Afternoon,1,44138,0
Inbound,Order Related,General Enquiry,"Shopzilla customer service executive   was very helpful,I appreciate her to good future ahead in your company.",>90,Morning,5,44,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Evening,5,11,1
Inbound,Feedback,UnProfessional Behaviour,,61-90,Afternoon,5,5,1
Email,Refund Related,Refund Enquiry,No,>90,Morning,5,2,1
Inbound,Order Related,Installation/demo,,31-60,Evening,5,24,1
Outcall,Order Related,Order status enquiry,Thankyou so much,On Job Training,Evening,5,7,1
Inbound,Returns,Return request,,>90,Evening,5,14,1
Inbound,Returns,Reverse Pickup Enquiry,Nyc talkng,31-60,Evening,5,5,1
Inbound,Returns,Service Centres Related,Thanks,>90,Morning,5,1,1
Outcall,Returns,Reverse Pickup Enquiry,,61-90,Evening,5,1,1
Inbound,Feedback,UnProfessional Behaviour,,0-30,Evening,4,3,1
Inbound,Returns,Reverse Pickup Enquiry,"You have played around with this order. Without taking customers concern, how can you plan the resolution/pick-up of the products? Don't you have brain to check with the customers availability? Also, no courtesy to atleast reach customer and apologize for the mess created by Shopzilla due to systems failure. Order placed on 8 July and 19 July damaged product delivered. I'm still awaiting for the resolution and refund.",>90,Evening,1,49,0
Inbound,Returns,Exchange / Replacement,Excellent,On Job Training,Morning,5,26,1
Inbound,Feedback,UnProfessional Behaviour,,31-60,Evening,5,9,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,1,46,0
Outcall,Offers & Cashback,Instant discount,,On Job Training,Morning,5,10,1
Inbound,Returns,Return request,,0-30,Evening,5,3,1
Inbound,Returns,Fraudulent User,,0-30,Morning,5,3,1
Inbound,Order Related,Priority delivery,,>90,Afternoon,5,0,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Evening,5,56,1
Inbound,Returns,Fraudulent User,,>90,Morning,5,2,1
Inbound,Order Related,Order status enquiry,Very nice,>90,Morning,4,22,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Morning,3,13,
Outcall,Returns,Return request,,31-60,Evening,5,5,1
Inbound,Product Queries,Product Specific Information,,>90,Evening,5,44340,
Outcall,Returns,Reverse Pickup Enquiry,Good,>90,Evening,5,44609,
Outcall,Returns,Reverse Pickup Enquiry,Bot is very annoying,31-60,Morning,4,8,1
Inbound,Order Related,Delayed,Ok,>90,Split,5,2,1
Inbound,Returns,Damaged,Have faith in coustomar,>90,Morning,5,24,1
Inbound,Order Related,Installation/demo,One side nit warning,>90,Morning,1,572,0
Inbound,Order Related,Order status enquiry,,On Job Training,Morning,5,1,1
Inbound,Order Related,Delayed,,On Job Training,Evening,5,0,1
Inbound,Order Related,Installation/demo,,>90,Split,5,1,1
Inbound,Refund Related,Refund Enquiry,They put my call on hold but after sometime they disconnected without any information.,On Job Training,Morning,1,4,0
Inbound,Returns,Reverse Pickup Enquiry,Please solve the queries,>90,Morning,5,2,1
Inbound,Returns,Service Centres Related,,>90,Morning,4,1,1
Inbound,Refund Related,Refund Enquiry,,>90,Split,5,13,1
Inbound,Returns,Reverse Pickup Enquiry,,0-30,Morning,4,138,1
Outcall,Order Related,Delayed,,0-30,Morning,5,5,1
Email,Payments related,Card/EMI,,61-90,Evening,5,4,1
Inbound,Returns,Reverse Pickup Enquiry,No,>90,Night,1,1,0
Outcall,Returns,Return request,,0-30,Morning,4,15,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Evening,1,6,0
Inbound,Order Related,Installation/demo,,61-90,Evening,5,30,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Evening,3,35,
Email,Order Related,Delayed,,0-30,Morning,5,1,1
Inbound,Order Related,Delayed,She is very good. If she need to switch the job ask her to contact me.,>90,Afternoon,5,0,1
Inbound,Order Related,Delayed,Item are too delay of delivery date,0-30,Evening,4,4,1
Outcall,Refund Related,Refund Related Issues,10 days order not supply &no payment refund,On Job Training,Morning,1,26,0
Inbound,Product Queries,Product Specific Information,Best,0-30,Afternoon,5,7,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Evening,5,1,1
Inbound,Order Related,Installation/demo,"Idiotic customer care executives, no solution from your end since April 28 th, call disconnected from the executive end",31-60,Evening,1,16,0
Outcall,Shopzilla Related,General Enquiry,My issue paylater bill not submited so i talk customer  suppprt nd my issue solve in just min thnx Shopzilla,On Job Training,Morning,5,2,1
Inbound,Product Queries,Product Specific Information,Problems and concern's Good Understanding and solved.,>90,Evening,4,,
Inbound,Order Related,Delayed,,>90,Morning,5,4,1
Inbound,Order Related,Invoice request,,31-60,Morning,5,13,1
Email,Refund Related,Refund Enquiry,,>90,Afternoon,5,1,1
Inbound,Order Related,Order status enquiry,,>90,Split,5,2,1
Inbound,Returns,Wrong,,>90,Morning,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,My problem is not yet solved,0-30,Evening,3,5,
Outcall,Returns,Reverse Pickup Enquiry,,>90,Night,5,3,1
Outcall,Returns,Reverse Pickup Enquiry,,31-60,Morning,5,295,1
Inbound,Returns,Reverse Pickup Enquiry,"I ordered a sleeper which was delivered on 22nd july after that i didn't like its quality so i refunded the last date to pick up the product after refund was 25th july but my product didn't get picked up till 31st july.  And I was consoled to wait only 24 hours for 5 days after talking to the costumer care, even after that no one came for pickup, I felt very sad seeing the return policy of Shopzilla.  That's why I canceled myself last night, first time this happened to me ??",>90,Morning,1,,0
Outcall,Returns,Reverse Pickup Enquiry,Awful customer support ever,>90,Morning,1,11,0
Inbound,Returns,Fraudulent User,,>90,Night,5,12,1
Inbound,Returns,Wrong,,>90,Afternoon,5,1,1
Inbound,Returns,Fraudulent User,,>90,Evening,4,4,1
Outcall,Order Related,Delayed,Good job ??,>90,Split,5,8,1
Inbound,Order Related,Order status enquiry,,>90,Afternoon,1,51,0
Inbound,Returns,Fraudulent User,,>90,Evening,5,11,1
Inbound,Order Related,Invoice request,,On Job Training,Evening,5,1,1
Inbound,Returns,Return request,,>90,Morning,5,3,1
Inbound,Order Related,Order status enquiry,,On Job Training,Evening,5,5,1
Inbound,Returns,Missing,,>90,Afternoon,5,3,1
Inbound,Refund Related,Refund Related Issues,,31-60,Night,4,4,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,107,1
Inbound,Product Queries,Product Specific Information,,On Job Training,Morning,4,10,1
Inbound,Payments related,Payment related Queries,,>90,Morning,5,21,1
Inbound,Order Related,Order status enquiry,,31-60,Afternoon,5,4,1
Inbound,Returns,Reverse Pickup Enquiry,Happy,On Job Training,Evening,5,19,1
Outcall,Cancellation,Return cancellation,happy costumer support,0-30,Morning,5,10,1
Inbound,Returns,Product related Issues,,>90,Evening,5,1,1
Inbound,Feedback,UnProfessional Behaviour,,31-60,Evening,5,3,1
Outcall,Refund Related,Refund Related Issues,,>90,Split,5,2,1
Outcall,Order Related,Delayed,U cal display ur customers support number4 help any customers problem But no display customers care number,61-90,Evening,4,,
Email,Returns,Reverse Pickup Enquiry,,>90,Morning,5,92,1
Inbound,Returns,Reverse Pickup Enquiry,After delivery of the product take responsibility of the items.,0-30,Morning,1,242,0
Inbound,Shopzilla Related,General Enquiry,Interaction was awesome but policy is very bad can't unblock my account pay later,>90,Morning,5,5,1
Inbound,Feedback,UnProfessional Behaviour,,61-90,Evening,4,1,1
Inbound,Order Related,Installation/demo,,0-30,Morning,1,86,0
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Morning,5,5,1
Outcall,Returns,Reverse Pickup Enquiry,,>90,Evening,5,5,1
Inbound,Order Related,Delayed,,>90,Morning,5,1,1
Inbound,Returns,Exchange / Replacement,,>90,Morning,5,147,1
Inbound,Returns,Reverse Pickup Enquiry,,61-90,Evening,1,2,0
Inbound,Shopzilla Related,General Enquiry,Reduce time,>90,Morning,3,4,
Inbound,Refund Related,Refund Enquiry,,>90,Morning,4,1,1
Inbound,Cancellation,Not Needed,,On Job Training,Evening,5,2,1
Inbound,Returns,Fraudulent User,,>90,Morning,4,12,1
Inbound,Order Related,Delayed,,0-30,Morning,4,4,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,1,286,0
Outcall,Product Queries,Product Specific Information,Kindly resolve all of your server related issues to help with real time data.,0-30,Morning,3,4,
Inbound,Shopzilla Related,Shopzila Premium Related,,>90,Morning,5,25,1
Inbound,Returns,Reverse Pickup Enquiry,,0-30,Morning,5,7,1
Inbound,Feedback,UnProfessional Behaviour,,31-60,Afternoon,5,230,1
Inbound,Returns,Reverse Pickup Enquiry,Very good,>90,Afternoon,5,375,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,4,15,1
Inbound,Order Related,Invoice request,Make it easy to reach to executive,>90,Morning,5,3,1
Outcall,Order Related,Delayed,Excellent service ??,On Job Training,Morning,5,1,1
Inbound,Order Related,Order status enquiry,,>90,Morning,5,0,1
Outcall,Returns,Reverse Pickup Enquiry,,On Job Training,Morning,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Evening,1,249,0
Outcall,Returns,Reverse Pickup Enquiry,,On Job Training,Evening,4,2,1
Inbound,Order Related,Delayed,,>90,Evening,4,4,1
Inbound,Order Related,Delayed,,31-60,Morning,5,57,1
Email,Order Related,Delayed,,31-60,Morning,5,3,1
Inbound,Order Related,Order status enquiry,,0-30,Morning,5,44403,
Inbound,Feedback,UnProfessional Behaviour,,>90,Morning,5,5,1
Inbound,Returns,Return request,poor customer service,61-90,Evening,1,28,0
Inbound,Order Related,Order status enquiry,,On Job Training,Morning,5,1,1
Inbound,Returns,Service Centres Related,,>90,Evening,4,4,1
Inbound,Cancellation,Not Needed,,>90,Morning,5,0,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Evening,5,0,1
Inbound,Refund Related,Refund Enquiry,,>90,Morning,5,3,1
Outcall,Order Related,Invoice request,Happy,0-30,Evening,4,4,1
Inbound,Order Related,Delayed,,>90,Evening,4,1,1
Inbound,Order Related,Delayed,,61-90,Evening,1,5,0
Inbound,Order Related,Delayed,,61-90,Evening,5,6,1
Inbound,Shopzilla Related,General Enquiry,,31-60,Morning,5,28,1
Outcall,Order Related,Order status enquiry,Very good working,On Job Training,Morning,5,0,1
Inbound,Returns,Reverse Pickup Enquiry,Make calling more accessible and easily approachable,>90,Morning,5,4,1
Inbound,Returns,Reverse Pickup Enquiry,Everything is ok ??,>90,Morning,5,30,1
Outcall,Payments related,Online Payment Issues,peoblem not solve,0-30,Evening,1,43748,0
Inbound,Returns,Return request,,31-60,Morning,1,53,0
Inbound,Order Related,Installation/demo,,>90,Morning,4,45,1
Inbound,Order Related,General Enquiry,,0-30,Evening,4,37,1
Outcall,Returns,Technician Visit,,>90,Morning,4,2,1
Outcall,Order Related,Delayed,,61-90,Evening,5,12,1
Inbound,Order Related,Delayed,Over all very good,>90,Evening,4,0,1
Outcall,Returns,Damaged,Very good,On Job Training,Evening,5,,1
Inbound,Feedback,UnProfessional Behaviour,,On Job Training,Morning,5,3,1
Inbound,Returns,Return request,,>90,Morning,5,2,1
Inbound,Order Related,Invoice request,,>90,Morning,5,9,1
Outcall,Returns,Reverse Pickup Enquiry,,>90,Morning,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,On Job Training,Evening,5,21,1
Inbound,Returns,Return request,,61-90,Evening,5,7,1
Outcall,Refund Related,Refund Related Issues,,On Job Training,Morning,5,556,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Morning,5,5,1
Inbound,Returns,Missing,,0-30,Evening,4,4,1
Inbound,Returns,Fraudulent User,,>90,Evening,5,1,1
Inbound,Returns,Return request,,>90,Afternoon,5,271,1
Inbound,Order Related,Order status enquiry,Very good nice bro,0-30,Evening,5,3,1
Inbound,Returns,Fraudulent User,,>90,Afternoon,5,5,1
Inbound,Returns,Reverse Pickup Enquiry,,61-90,Evening,1,1,0
Inbound,Order Related,Installation/demo,,>90,Morning,5,2,1
Email,Refund Related,Refund Enquiry,Good support,31-60,Morning,5,34,1
Outcall,Refund Related,Refund Related Issues,,>90,Afternoon,5,0,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Evening,4,8,1
Email,Returns,Wrong,,31-60,Morning,5,3,1
Inbound,Order Related,Order status enquiry,,0-30,Morning,5,43,1
Inbound,Shopzilla Related,Account updation,Good,31-60,Morning,4,4,1
Inbound,Refund Related,COD Refund Details,,61-90,Evening,2,2,0
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,21,1
Inbound,Order Related,Delayed,,On Job Training,Evening,3,7,
Outcall,Onboarding related,Seller onboarding,Bist gadnig,>90,Morning,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,Shopzilla team very good team,>90,Afternoon,5,104,1
Inbound,Order Related,Delayed,,>90,Morning,5,5,1
