issue_category,customer_sentiment,issue_complexity,agent_experience_level,agent_politeness,agent_empathy,agent_professionalism,communication_clarity,apology_present,patience_present,active_listening_present,deescalation_present,helpfulness,customer_tone_observed,outcome_quality,retention_label
Account Reactivation and Deactivation,negative,less,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Warranty Terms and Changes,neutral,less,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Returns and Refunds,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Return and Exchange,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Miscellaneous,negative,less,experienced,medium,present,high,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Pricing and Discounts,frustrated,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Login Methods,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Miscellaneous,negative,less,junior,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Cash on Delivery (CoD) Refunds,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,resolved,retained
Product Availability for Shipping,negative,less,junior,medium,present,medium,medium,1,1,1,1,medium,negative,unresolved,not_retained
Order Delivery Issues,negative,less,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Return and Exchange,neutral,less,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,frustrated,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Return Checks and Fees,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Invoice and Payment,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,not_retained
Product Installation,neutral,medium,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Product Installation,neutral,less,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Book Pricing Discrepancies,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Pickup and Shipping,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Order Delivery Issues,frustrated,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Replacement and Return Process,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,unresolved,not_retained
Return Checks and Fees,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Cash on Delivery (CoD) Refunds,negative,less,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Order Delivery Issues,frustrated,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Order Confirmation and Status,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,negative,high,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Return Checks and Fees,negative,less,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Order Confirmation and Status,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Login Issues and Error Messages,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Pickup and Shipping,neutral,less,inexperienced,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Replacement and Return Process,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Product Information and Tags,positive,less,junior,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Order Delivery Issues,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Invoice and Payment,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Start Date of Warranty,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Product Installation,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Cash on Delivery (CoD) Refunds,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Invoice and Payment,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Login Methods,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,negative,less,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Pickup and Shipping,negative,less,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Login Methods,neutral,less,experienced,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Pickup and Shipping,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Loyalty program,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Product Availability and Status,neutral,less,junior,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Availability of Faster Delivery Options,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Mobile Number and Email Verification,neutral,less,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Invoice and Payment,negative,medium,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Invoice and Payment,neutral,less,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Invoice and Payment,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Installation and Accessories,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Invoice and Payment,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Book Pricing Discrepancies,neutral,high,experienced,high,present,high,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Order Delivery Issues,frustrated,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Loyalty program,negative,medium,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Accessing Warranty Details,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Account and Shopping,neutral,less,inexperienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Warranty Terms and Changes,neutral,less,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Mobile Number and Email Verification,neutral,less,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Account and Shopping,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Login Methods,neutral,medium,experienced,high,present,high,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Warranty Claim Process,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Product Installation,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return Checks and Fees,neutral,less,experienced,high,present,high,high,1,1,1,1,medium,neutral,resolved,retained
Order Delivery Issues,negative,less,inexperienced,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Book Pricing Discrepancies,neutral,high,inexperienced,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Product Registration and Warranty,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Login Issues and Error Messages,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Pricing and Discounts,frustrated,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Expedited Delivery,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Pickup and Shipping,neutral,less,junior,high,present,high,high,0,0,0,0,high,neutral,resolved,retained
Adding and Changing Account Information,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Mobile Number and Email Verification,neutral,less,junior,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,high,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Return and Exchange,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Standard Shipping Speeds and Delivery Charges,neutral,less,junior,high,present,high,high,0,0,1,0,high,neutral,resolved,retained
Account Reactivation and Deactivation,neutral,less,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Returns and Refunds,frustrated,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,resolved,retained
Invoice and Payment,negative,less,junior,medium,present,medium,medium,1,1,1,0,medium,negative,partially_resolved,not_retained
Product Registration and Warranty,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Product Installation,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Adding and Changing Account Information,neutral,medium,inexperienced,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Book Pricing Discrepancies,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Account and Shopping,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,negative,high,junior,high,present,medium,medium,1,1,1,1,medium,negative,resolved,retained
Order Delivery Issues,negative,less,junior,high,present,medium,high,1,1,1,0,medium,negative,partially_resolved,uncertain
Replacement and Return Process,negative,less,junior,medium,present,medium,medium,1,1,1,1,medium,negative,unresolved,not_retained
Availability of Faster Delivery Options,negative,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Returns and Refunds,neutral,medium,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Product Registration and Warranty,neutral,medium,junior,high,present,high,high,1,0,1,0,high,neutral,resolved,retained
Account and Shopping,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Invoice and Payment,negative,medium,inexperienced,high,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Replacement and Return Process,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Login Issues and Error Messages,neutral,less,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Accessing Warranty Details,neutral,less,inexperienced,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Account Reactivation and Deactivation,neutral,high,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Mobile Number and Email Verification,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Product Registration and Warranty,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Standard Shipping Speeds and Delivery Charges,negative,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Warranty Terms and Changes,neutral,less,inexperienced,high,present,medium,high,0,0,1,0,high,neutral,resolved,retained
Return and Exchange,negative,high,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Adding and Changing Account Information,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Invoice and Payment,negative,high,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Returns and Refunds,neutral,high,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Standard Shipping Speeds and Delivery Charges,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Replacement and Return Process,neutral,medium,junior,high,present,medium,high,1,1,1,0,medium,neutral,resolved,retained
Lost or Missing Warranty Card,neutral,less,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Standard Shipping Speeds and Delivery Charges,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Shipping Options for Returns,neutral,high,junior,high,present,medium,high,1,1,1,1,medium,neutral,resolved,retained
Pricing and Discounts,neutral,less,junior,high,present,high,high,0,0,1,0,high,neutral,resolved,retained
Return Checks and Fees,negative,less,junior,medium,present,medium,high,1,1,1,0,medium,negative,partially_resolved,not_retained
Pricing and Discounts,frustrated,less,inexperienced,high,present,medium,high,0,1,1,0,medium,negative,resolved,retained
Lost or Missing Warranty Card,neutral,less,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Placing an Order,positive,less,experienced,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Order Delivery Issues,frustrated,high,junior,high,present,medium,high,1,1,1,1,high,negative,partially_resolved,uncertain
Order Confirmation and Status,neutral,less,inexperienced,medium,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Accessing Warranty Details,neutral,medium,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Product Installation,neutral,less,experienced,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Account and Shopping,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Cash on Delivery (CoD) Refunds,negative,medium,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Returns and Refunds,negative,medium,experienced,high,present,high,high,1,1,1,0,high,negative,resolved,retained
Return and Exchange,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Mobile Number and Email Verification,neutral,medium,junior,high,present,high,high,1,1,1,1,high,positive,resolved,retained
Order Confirmation and Status,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Mobile Number and Email Verification,neutral,less,experienced,high,present,high,high,0,0,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,less,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Pickup and Shipping,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Availability of Faster Delivery Options,negative,medium,inexperienced,medium,present,medium,medium,1,1,1,0,medium,negative,partially_resolved,uncertain
Pickup and Shipping,negative,less,junior,high,present,medium,high,1,1,1,1,medium,negative,resolved,not_retained
Installation and Accessories,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Warranty Terms and Changes,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Order Confirmation and Status,neutral,medium,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Pickup and Shipping,frustrated,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Availability of Faster Delivery Options,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Product Installation,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Return and Exchange,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Installation and Accessories,neutral,less,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Mobile Number and Email Verification,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,resolved,not_retained
Return and Exchange,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Pickup and Shipping,negative,medium,inexperienced,medium,present,medium,high,1,1,1,1,high,negative,partially_resolved,uncertain
Mobile Number and Email Verification,negative,less,junior,high,present,medium,high,1,1,1,1,medium,negative,resolved,not_retained
Lost or Missing Warranty Card,frustrated,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Account Reactivation and Deactivation,neutral,medium,junior,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Replacement and Return Process,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Order Confirmation and Status,neutral,less,inexperienced,high,present,medium,high,1,1,1,1,medium,neutral,resolved,retained
Return and Exchange,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Replacement and Return Process,negative,less,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Pickup and Shipping,frustrated,medium,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Order Confirmation and Status,positive,less,junior,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Accessing Warranty Details,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Invoice and Payment,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Product Information and Tags,positive,less,junior,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Pickup and Shipping,frustrated,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Pricing and Discounts,negative,medium,inexperienced,medium,present,medium,medium,1,1,1,0,medium,negative,partially_resolved,not_retained
Product Availability and Status,negative,medium,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Return and Exchange,neutral,medium,junior,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Login Issues and Error Messages,neutral,less,junior,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Loyalty program,negative,high,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Order Cancellation,neutral,high,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Invoice and Payment,negative,medium,inexperienced,high,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Order Delivery Issues,frustrated,less,junior,unknown,absent,unknown,unknown,0,0,0,0,unknown,negative,unknown,not_retained
Expedited Delivery,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Return and Exchange,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Returns and Refunds,negative,less,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Order Cancellation,neutral,less,inexperienced,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Login Methods,neutral,less,junior,high,present,high,high,0,0,1,0,high,neutral,resolved,retained
Warranty Claim Process,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Return and Exchange,neutral,medium,junior,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Cash on Delivery (CoD) Refunds,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Product Availability and Status,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Account Reactivation and Deactivation,negative,less,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,not_retained
Product Availability and Status,neutral,less,inexperienced,high,present,medium,high,1,1,1,0,medium,neutral,resolved,retained
Free Delivery Qualification,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Pricing and Discounts,neutral,high,inexperienced,medium,present,medium,medium,1,1,1,1,medium,neutral,partially_resolved,uncertain
Product Availability and Status,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Mobile Number and Email Verification,neutral,less,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Lost or Missing Warranty Card,neutral,high,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Pricing and Discounts,frustrated,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,resolved,retained
Pricing and Discounts,neutral,medium,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Pricing and Discounts,frustrated,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,resolved,retained
Invoice and Payment,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Loyalty program,neutral,high,junior,medium,present,medium,high,0,0,1,0,high,neutral,resolved,retained
Adding and Changing Account Information,neutral,less,experienced,high,present,high,high,0,0,0,0,high,neutral,resolved,retained
Return and Exchange,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Login Methods,neutral,medium,junior,high,present,medium,high,0,1,1,0,medium,neutral,resolved,retained
Return Checks and Fees,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Account and Shopping,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Return and Exchange,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Account and Shopping,negative,medium,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Replacement and Return Process,neutral,high,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Delivery Process,neutral,less,junior,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Return and Exchange,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,negative,medium,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Mobile Number and Email Verification,neutral,less,inexperienced,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Pickup and Shipping,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Return and Exchange,negative,medium,junior,medium,present,medium,high,1,1,1,1,medium,negative,unresolved,not_retained
Invoice and Payment,negative,less,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,resolved,retained
Product Availability for Shipping,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Order Delivery Issues,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Pricing and Discounts,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Order Confirmation and Status,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,negative,high,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Replacement and Return Process,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,negative,high,junior,high,present,medium,high,1,1,1,1,medium,negative,resolved,retained
Start Date of Warranty,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Expedited Delivery,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Return and Exchange,neutral,less,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,negative,medium,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Return Checks and Fees,negative,less,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Order Cancellation,neutral,less,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Extended Warranty,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Lost or Missing Warranty Card,neutral,medium,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,frustrated,medium,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Installation and Accessories,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Return and Exchange,negative,high,junior,medium,present,medium,medium,1,1,1,1,medium,negative,resolved,retained
Pickup and Shipping,frustrated,less,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Cash on Delivery (CoD) Refunds,negative,medium,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Replacement and Return Process,negative,medium,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Product Information and Tags,positive,medium,junior,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Mobile Number and Email Verification,neutral,less,junior,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Returns and Refunds,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Shipping Options for Returns,neutral,less,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Lost or Missing Warranty Card,neutral,less,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Warranty Terms and Changes,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Returns and Refunds,frustrated,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Return and Exchange,negative,high,experienced,medium,present,high,high,1,0,1,0,medium,negative,partially_resolved,uncertain
Pickup and Shipping,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Returns and Refunds,frustrated,medium,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Order Delivery Issues,negative,medium,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Replacement and Return Process,neutral,high,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Order Confirmation and Status,positive,less,experienced,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Placing an Order,positive,less,junior,high,present,high,high,0,0,1,0,high,positive,resolved,retained
